batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1,CrackIVF,16,0,16,100,100,10,42,99999,8929.86365800607,51.782765018288046,1.9174129993189126,49.86535201896913,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.8586769874673337,1,0.875,0.90625,0.88625,25600000
2,CrackIVF,16,16,16,100,100,10,42,99999,8974.284500989597,44.42084298352711,1.596353977220133,42.824489006306976,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.5850740019232035,1,1.0,0.94375,0.903125,25600000
3,CrackIVF,16,32,16,100,100,10,42,99999,9023.796359979315,49.51185898971744,1.5424329903908074,47.96942599932663,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.5362889971584082,1,1.0,0.98125,0.969375,25600000
4,CrackIVF,16,48,16,100,100,10,42,99999,9073.953297978733,50.156937999418005,1.8535559938754886,48.30338200554252,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.8438439874444157,1,0.9375,0.9625,0.92,25600000
5,CrackIVF,16,64,16,100,100,10,42,99999,9119.578346959315,45.625048980582505,2.2061689815018326,43.41887999908067,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,2.1960570011287928,1,1.0,0.96875,0.949375,25600000
6,CrackIVF,16,80,16,100,100,10,42,99999,9165.751049964456,46.17270300514065,1.4716809964738786,44.70102200866677,0.0,0.00031999661587178707,0.0,0.0,0.0,0.0,1.4652489917352796,1,0.875,0.95,0.911875,25600000
7,CrackIVF,16,96,16,100,100,10,42,99999,9211.144239961868,45.393189997412264,1.4645599876530468,43.92863000975922,0.0,0.00030401861295104027,0.0,0.0,0.0,0.0,1.4585600001737475,1,1.0,0.95,0.884375,25600000
8,CrackIVF,16,112,16,100,100,10,42,99999,9258.06178196217,46.91754200030118,1.4596960099879652,45.45784599031322,0.0,0.00024001928977668285,0.0,0.0,0.0,0.0,1.454592013033107,1,0.9375,0.925,0.87875,25600000
9,CrackIVF,16,128,16,100,100,10,42,99999,9311.154816939961,53.09303497779183,2.248264994705096,50.844769983086735,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,2.2385530173778534,1,0.9375,0.9625,0.94625,25600000
10,CrackIVF,16,144,16,100,100,10,42,99999,9359.629096958088,48.47428001812659,1.5510249941144139,46.92325502401218,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.5409129846375436,1,0.875,0.96875,0.93625,25600000
11,CrackIVF,16,160,16,100,100,10,42,99999,9409.706306963926,50.077210005838424,1.5439210110343993,48.533288994804025,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.5335690113715827,1,1.0,0.94375,0.928125,25600000
12,CrackIVF,16,176,16,100,100,10,42,99999,9457.177007949213,47.470700985286385,1.5041769947856665,45.96652399050072,0.0,0.00020800507627427578,0.0,0.0,0.0,0.0,1.4985770103521645,1,1.0,0.96875,0.913125,25600000
13,CrackIVF,16,192,16,100,100,10,42,99999,9505.679032939952,48.5020249907393,1.5295369958039373,46.97248799493536,0.0,0.00022398307919502258,0.0,0.0,0.0,0.0,1.5192170103546232,1,0.9375,0.94375,0.901875,25600000
14,CrackIVF,16,208,16,100,100,10,42,99999,9554.598757938948,48.91972499899566,1.911988976644352,47.00773602235131,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.9021010084543377,1,0.875,0.9375,0.90125,25600000
15,CrackIVF,16,224,16,100,100,10,42,99999,9604.754047933966,50.15528999501839,1.5497769927605987,48.605513002257794,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.537585019832477,1,1.0,0.98125,0.93125,25600000
16,CrackIVF,16,240,16,100,100,10,42,99999,9659.507261938415,54.753214004449546,2.6288609951734543,52.12435300927609,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,2.6196450053248554,1,0.875,0.91875,0.89125,25600000
17,CrackIVF,16,256,16,100,100,10,42,99999,9716.532788937911,57.02552699949592,2.1514800027944148,54.87404699670151,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,2.138295996701345,1,0.9375,0.9875,0.96375,25600000
18,CrackIVF,16,272,16,100,100,10,42,99999,9763.853903947165,47.321115009253845,1.7010110022965819,45.62010400695726,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.6838750161696225,1,1.0,0.98125,0.933125,25600000
19,CrackIVF,16,288,16,100,100,10,42,99999,9814.945540943881,51.09163699671626,2.1444400190375745,48.947196977678686,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,2.1318959770724177,1,1.0,0.9625,0.96625,25600000
20,CrackIVF,16,304,16,100,100,10,42,99999,9863.9378749358,48.99233399191871,1.5490249788854271,47.443309013033286,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.538481010356918,1,0.8125,0.9,0.878125,25600000
21,CrackIVF,16,320,16,100,100,10,42,99999,9913.592663913732,49.654788977932185,1.5458569978363812,48.108931980095804,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.5356649819295853,1,1.0,0.9375,0.925,25600000
22,CrackIVF,16,336,16,100,100,10,42,99999,9959.803670935798,46.21100702206604,2.155719994334504,44.05528702773154,0.0,0.00022398307919502258,0.0,0.0,0.0,0.0,2.146840008208528,1,0.9375,0.94375,0.9325,25600000
23,CrackIVF,16,352,16,100,100,10,42,99999,10007.935962959891,48.13229202409275,1.533777016447857,46.59851500764489,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.5234409947879612,1,0.9375,0.925,0.918125,25600000
24,CrackIVF,16,368,16,100,100,10,42,99999,10056.314737943467,48.37877498357557,1.7369469860568643,46.6418279975187,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.7023709951899946,1,1.0,0.98125,0.9225,25600000
25,CrackIVF,16,384,16,100,100,10,42,99999,10101.782504934818,45.4677669913508,1.557985000545159,43.90978199080564,0.0,0.0002560263965278864,0.0,0.0,0.0,0.0,1.5493929968215525,1,0.9375,0.975,0.939375,25600000
26,CrackIVF,16,400,16,100,100,10,42,99999,10149.24018192687,47.457676992053166,2.207351994002238,45.25032499805093,0.0,0.00020800507627427578,0.0,0.0,0.0,0.0,2.197576017351821,1,0.9375,0.94375,0.915625,25600000
27,CrackIVF,16,416,16,100,100,10,42,99999,10200.099911919096,50.859729992225766,1.5388329920824617,49.320897000143304,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.532881025923416,1,0.9375,0.93125,0.933125,25600000
28,CrackIVF,16,432,16,100,100,10,42,99999,10249.924462928902,49.82455100980587,1.5488490171264857,48.27570199267939,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.5387689927592874,1,0.875,0.90625,0.8975,25600000
29,CrackIVF,16,448,16,100,100,10,42,99999,10297.786703944439,47.86224101553671,1.564930018503219,46.29731099703349,0.0,0.0002560263965278864,0.0,0.0,0.0,0.0,1.55462502152659,1,0.9375,0.93125,0.89625,25600000
30,CrackIVF,16,464,16,100,100,10,42,99999,10350.131633953424,52.3449300089851,2.2805210028309375,50.064409006154165,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,2.2651610197499394,1,0.8125,0.8625,0.856875,25600000
31,CrackIVF,16,480,16,100,100,10,42,99999,10398.424567945767,48.29293399234302,1.5979059971868992,46.695027995156124,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.5873299853410572,1,1.0,0.9875,0.955,25600000
32,CrackIVF,16,496,16,100,100,10,42,99999,10447.066241962602,48.64167401683517,1.5942740137688816,47.047400003066286,0.0,0.0003360037226229906,0.0,0.0,0.0,0.0,1.5805620059836656,1,0.9375,0.94375,0.926875,25600000
33,CrackIVF,16,512,16,100,100,10,42,99999,10493.277392961318,46.21115099871531,2.169415995012969,44.04173500370234,0.0,0.00022398307919502258,0.0,0.0,0.0,0.0,2.1541199821513146,1,0.9375,0.93125,0.8925,25600000
34,CrackIVF,16,528,16,100,100,10,42,99999,10543.919264950091,50.641871988773346,1.6593459877185524,48.982526001054794,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.6440979961771518,1,1.0,1.0,0.96375,25600000
35,CrackIVF,16,544,16,100,100,10,42,99999,10595.899102947442,51.97983799735084,1.5356479852925986,50.44419001205824,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.5240320062730461,1,1.0,0.925,0.9075,25600000
36,CrackIVF,16,560,16,100,100,10,42,99999,10644.405174971325,48.50607202388346,1.5184000076260418,46.98767201625742,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.5045280160848051,1,0.9375,0.90625,0.87125,25600000
37,CrackIVF,16,576,16,100,100,10,42,99999,10690.112032956677,45.706857985351235,1.5718259965069592,44.135031988844275,0.0,0.00044802436605095863,0.0,0.0,0.0,0.0,1.5587219968438148,1,0.875,0.94375,0.914375,25600000
38,CrackIVF,16,592,16,100,100,10,42,99999,10746.789043972967,56.677011016290635,1.584258017828688,55.09275299846195,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.5738250222057104,1,1.0,0.975,0.963125,25600000
39,CrackIVF,16,608,16,100,100,10,42,99999,10796.303526964039,49.51448299107142,1.5068170032463968,48.00766598782502,0.0,0.00030398950912058353,0.0,0.0,0.0,0.0,1.4968969917390496,1,0.9375,0.9375,0.9075,25600000
40,CrackIVF,16,624,16,100,100,10,42,99999,10841.326888970798,45.02336200675927,1.5206410025712103,43.50272100418806,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.5068170032463968,1,1.0,0.9375,0.885,25600000
41,CrackIVF,16,640,16,100,100,10,42,99999,10894.510884972988,53.183996002189815,3.5558950039558113,49.628100998234004,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,3.5458630009088665,1,0.9375,0.90625,0.8825,25600000
42,CrackIVF,16,656,16,100,100,10,42,99999,10952.08747399738,57.57658902439289,1.5781780239194632,55.998411000473425,0.0,0.00024001928977668285,0.0,0.0,0.0,0.0,1.5679540229029953,1,0.8125,0.90625,0.90875,25600000
43,CrackIVF,16,672,16,100,100,10,42,99999,11000.039331993321,47.95185799594037,2.183415985200554,45.76844201073982,0.0,0.00022401218302547932,0.0,0.0,0.0,0.0,2.175047993659973,1,1.0,0.95625,0.94125,25600000
44,CrackIVF,16,688,16,100,100,10,42,99999,11058.955374988727,58.916042995406315,1.5310559829231352,57.38498701248318,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.5206719981506467,1,1.0,0.98125,0.96,25600000
45,CrackIVF,16,704,16,100,100,10,42,99999,11106.895680975867,47.940305987140164,1.5360649849753827,46.40424100216478,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.5259849897120148,1,1.0,0.98125,0.934375,25600000
46,CrackIVF,16,720,16,100,100,10,42,99999,11155.650571978185,48.75489100231789,1.5213129809126258,47.233578021405265,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.5093930123839527,1,1.0,0.9375,0.90875,25600000
47,CrackIVF,16,736,16,100,100,10,42,99999,11203.79767997656,48.14710799837485,1.5889779897406697,46.55813000863418,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.5778740053065121,1,1.0,0.95,0.91125,25600000
