dataset_name,dim,skew,seed,nruns,index_name,nlist,nprobe,niter,add_time,train_time,total_build_time,total_search_time,total_time,10th_search_time_ms,25th_search_time_ms,median_search_time_ms,mean_search_time_ms,75th_search_time_ms,90th_search_time_ms,99th_search_time_ms,std_search_time_ms,CV_search_time_ms,QPS,recall_1,recall_10,recall_100,nthreads,batch_size,total_num_queries,run_date,cmd
SIFT10M,128,default,42,3,BruteForce,,,,1.7743397529993672,0,1.7743397529993672,541.4290421921178,543.2033819451171,817.7562443946954,839.964876009617,873.6338989983778,866.2864675073885,897.9121949814726,908.2471396017354,937.5619757082313,40.322073096793474,4.6545888235809905,18.410024021454046,1.0,0.99999,0.999994,16,16,10000,2026-07-20 03:32:33,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,1,10,7.797120302973781,0.9249833750072867,8.722103677981067,5.8515395474096294,14.573643225390697,8.136971585918218,8.590046025346965,9.223186003509909,9.362463275855408,10.00602199928835,10.896909201983362,12.350874709663913,1.0845004131271863,11.583494441297022,1696.3274776412154,0.6375,0.60743,0.56105,16,16,10000,2026-07-20 03:33:01,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,2,10,7.797120302973781,0.9249833750072867,8.722103677981067,11.946947483171243,20.66905116115231,17.033649398945272,17.903183994349092,18.94075798918493,19.11511597307399,20.2775810030289,21.50726380641572,23.43753747525625,1.7713726774439598,9.266868586824991,837.0338962388711,0.8142,0.78658,0.74326,16,16,10000,2026-07-20 03:33:38,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,4,10,7.797120302973781,0.9249833750072867,8.722103677981067,24.69736724489485,33.41947092287592,36.09157440951094,37.55202400498092,39.446337992558256,39.51578759183176,41.216138983145356,42.88157580886036,45.67016555927694,2.5997570789998323,6.5790339442385894,405.5628857503318,0.9258,0.91077,0.88169,16,16,10000,2026-07-20 03:34:53,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,8,10,7.797120302973781,0.9249833750072867,8.722103677981067,51.35964254196733,60.0817462199484,77.29800958768465,79.23685701098293,82.03287899959832,82.17542806714773,84.81341498554684,87.43335959734395,90.71314505185,3.8707590667932372,4.710360697641072,194.90975896031247,0.9824,0.97519,0.962092,16,16,10000,2026-07-20 03:37:28,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,16,10,7.797120302973781,0.9249833750072867,8.722103677981067,99.29493078833912,108.01703446632018,152.13640000438318,154.96444702148438,158.80292799556628,158.87188926134257,162.597012007609,165.70720960735343,170.91762148425914,5.152524885518691,3.2431948216105377,100.60788892107881,0.9981,0.99647,0.993154,16,16,10000,2026-07-20 03:42:27,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,20,10,7.797120302973781,0.9249833750072867,8.722103677981067,122.93966566730523,131.6617693452863,189.2884099856019,192.77861298178323,196.63496600696817,196.70346506768837,200.26450499426574,204.6161461970769,209.21997705823742,5.83857141123235,2.9682097411060946,81.11989150779583,0.9994,0.99845,0.996618,16,16,10000,2026-07-20 03:48:37,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,32,10,7.797120302973781,0.9249833750072867,8.722103677981067,194.1132867554552,202.83539043343626,301.84139119810425,305.69215799914673,310.242676991038,310.5812588087283,315.17593699391,319.94612901471555,327.0764603628777,7.11478432456378,2.290796409240335,51.48029573678353,1.0,0.99969,0.999447,16,16,10000,2026-07-20 03:58:21,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,48,10,7.797120302973781,0.9249833750072867,8.722103677981067,289.2579245699744,297.9800282479555,452.48788679018617,457.3710059921723,462.2569030034356,462.8126793119591,468.4592590201646,473.45182759454474,483.10875843977556,8.01871674957043,1.732605243549391,34.59111636570331,1.0,0.99995,0.999932,16,16,10000,2026-07-20 04:12:49,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
SIFT10M,128,default,42,3,IVFFlat,100,64,10,7.797120302973781,0.9249833750072867,8.722103677981067,384.71307235665154,393.4351760346326,604.8849501938093,609.772191994125,615.6284369935747,615.5409157706424,621.0850900097284,625.8779409981798,632.7118280075956,8.250219607298579,1.3403202607530162,25.99339798552365,1.0,0.99999,0.999987,16,16,10000,2026-07-20 04:32:04,python run_baselines.py --result_path ./results/ --dbname SIFT10M --skew default --store --target_queries 0 --nruns 3 --seed 42 --nthreads 16 --runid 250227_rerun_baselines --run_desc None --index_name BruteForce IVFFlat --topK 100 --niter 10 --nprobe 1 2 4 8 16 20 32 48 64 80 128 256 512 1024 --nlist 100 1000 5000 10000 16000 --batch_size None
