batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1,CrackIVF,16,0,16,100,100,10,42,99999,7701.780389994383,34.583684988319874,1.623042015125975,32.9606429731939,0.0,0.00036798883229494095,0.0,0.0,0.0,0.0,1.5675380127504468,1,1.0,0.975,0.953125,25600000
2,CrackIVF,16,16,16,100,100,10,42,99999,7734.005543985404,32.225153991021216,1.4993450022302568,30.72580898879096,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.4885450073052198,1,1.0,0.94375,0.8875,25600000
3,CrackIVF,16,32,16,100,100,10,42,99999,7769.74474999588,35.739206010475755,1.544642000226304,34.19456401024945,0.0,0.0003839959390461445,0.0,0.0,0.0,0.0,1.5337140066549182,1,1.0,0.95625,0.92375,25600000
4,CrackIVF,16,48,16,100,100,10,42,99999,7805.278499989072,35.53374999319203,1.531601999886334,34.0021479933057,0.0,0.0003839959390461445,0.0,0.0,0.0,0.0,1.5204980154521763,1,1.0,0.89375,0.878125,25600000
5,CrackIVF,16,64,16,100,100,10,42,99999,7841.836234991206,36.557735002133995,1.5235049941111356,35.03423000802286,0.0,0.00035201082937419415,0.0,0.0,0.0,0.0,1.5129449893720448,1,1.0,0.98125,0.941875,25600000
6,CrackIVF,16,80,16,100,100,10,42,99999,7875.7764309993945,33.94019600818865,1.5873460215516388,32.35284998663701,0.0,0.00036798883229494095,0.0,0.0,0.0,0.0,1.5699219948146492,1,0.9375,0.93125,0.880625,25600000
7,CrackIVF,16,96,16,100,100,10,42,99999,7908.4396659745835,32.66323497518897,2.518866996979341,30.14436797820963,0.0,0.00022401218302547932,0.0,0.0,0.0,0.0,2.5094429729506373,1,0.875,0.89375,0.878125,25600000
8,CrackIVF,16,112,16,100,100,10,42,99999,7941.171204962302,32.73153898771852,1.5260649961419404,31.205473991576582,0.0,0.00035201082937419415,0.0,0.0,0.0,0.0,1.5160329930949956,1,1.0,0.9625,0.963125,25600000
9,CrackIVF,16,128,16,100,100,10,42,99999,7975.345112965442,34.17390800314024,1.5036020195111632,32.67030598362908,0.0,0.000400003045797348,0.0,0.0,0.0,0.0,1.4934419887140393,1,0.9375,0.93125,0.8925,25600000
10,CrackIVF,16,144,16,100,100,10,42,99999,8008.7555009522475,33.41038798680529,2.1062899904791266,31.304097996326163,0.0,0.0003360037226229906,0.0,0.0,0.0,0.0,2.0975859952159226,1,0.9375,0.93125,0.925,25600000
11,CrackIVF,16,160,16,100,100,10,42,99999,8042.5169289519545,33.76142799970694,1.539232995128259,32.22219500457868,0.0,0.0003519817255437374,0.0,0.0,0.0,0.0,1.5261769876815379,1,0.9375,0.91875,0.885625,25600000
12,CrackIVF,16,176,16,100,100,10,42,99999,8076.617268961854,34.10034000989981,1.5312500181607902,32.56908999173902,0.0,0.0003680179361253977,0.0,0.0,0.0,0.0,1.520770019851625,1,1.0,0.975,0.943125,25600000
