batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1,CrackIVF,16,0,16,100,100,10,42,99999,314.8682619794272,5.454033991554752,1.6964609967544675,3.7575729948002845,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.6410529788117856,1,0.9375,0.8625,0.840625,25600000
2,CrackIVF,16,16,16,100,100,10,42,99999,319.7772139683366,4.9089519889093935,1.5229909913614392,3.3859609975479543,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.5128149825613946,1,1.0,0.94375,0.896875,25600000
3,CrackIVF,16,32,16,100,100,10,42,99999,324.89337897277437,5.116165004437789,1.5067830099724233,3.609381994465366,0.0,0.00024001928977668285,0.0,0.0,0.0,0.0,1.4969110197853297,1,1.0,0.90625,0.868125,25600000
4,CrackIVF,16,48,16,100,100,10,42,99999,330.8135189872701,5.920140014495701,1.5403979923576117,4.379742022138089,0.0,0.00030401861295104027,0.0,0.0,0.0,0.0,1.5295500052161515,1,1.0,0.96875,0.943125,25600000
5,CrackIVF,16,64,16,100,100,10,42,99999,335.7078629778698,4.894343990599737,1.5179659822024405,3.376378008397296,0.0,0.00024001928977668285,0.0,0.0,0.0,0.0,1.5084620099514723,1,1.0,0.9625,0.936875,25600000
6,CrackIVF,16,80,16,100,100,10,42,99999,340.7991799758747,5.091316998004913,1.4864790136925876,3.6048379843123257,0.0,0.00030401861295104027,0.0,0.0,0.0,0.0,1.4766230015084147,1,0.9375,0.91875,0.865625,25600000
7,CrackIVF,16,96,16,100,100,10,42,99999,345.87358598946594,5.074406013591215,1.5051350055728108,3.5692710080184042,0.0,0.00030398950912058353,0.0,0.0,0.0,0.0,1.4947190065868199,1,1.0,0.90625,0.853125,25600000
8,CrackIVF,16,112,16,100,100,10,42,99999,350.68028297973797,4.80669699027203,1.4880950038786978,3.3186019863933325,0.0,0.0003839959390461445,0.0,0.0,0.0,0.0,1.4775189920328557,1,0.875,0.91875,0.85625,25600000
9,CrackIVF,16,128,16,100,100,10,42,99999,355.210518988315,4.530236008577049,1.5033110103104264,3.0269249982666224,0.0,0.00028798240236938,0.0,0.0,0.0,0.0,1.4934549981262535,1,0.9375,0.93125,0.87875,25600000
10,CrackIVF,16,144,16,100,100,10,42,99999,360.05420799483545,4.843689006520435,1.4965590089559555,3.3471299975644797,0.0,0.00028801150619983673,0.0,0.0,0.0,0.0,1.4864150143694133,1,0.8125,0.94375,0.89625,25600000
11,CrackIVF,16,160,16,100,100,10,42,99999,365.19454899826087,5.140341003425419,1.4704150089528412,3.669925994472578,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,1.4597589906770736,1,0.875,0.90625,0.84125,25600000
12,CrackIVF,16,176,16,100,100,10,42,99999,370.3344259993173,5.139877001056448,1.5149270184338093,3.6249499826226383,0.0,0.00022401218302547932,0.0,0.0,0.0,0.0,1.5034870011731982,1,1.0,0.89375,0.87,25600000
