batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1,CrackIVF,16,0,16,100,100,10,42,99999,168.5208480048459,3.1123800144996494,1.4656300190836191,1.6467499954160303,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.4104779984336346,1,0.9375,0.94375,0.911875,25600000
2,CrackIVF,16,16,16,100,100,10,42,99999,171.60975601291284,3.0889080080669373,1.193005999084562,1.8959020089823753,0.0,0.00027197529561817646,0.0,0.0,0.0,0.0,1.1819660139735788,1,0.75,0.79375,0.84375,25600000
3,CrackIVF,16,32,16,100,100,10,42,99999,174.09333703108132,2.483581018168479,1.1783670051954687,1.3052140129730105,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.1713750136550516,1,0.8125,0.84375,0.86625,25600000
4,CrackIVF,16,48,16,100,100,10,42,99999,177.18298104591668,3.0896440148353577,1.127950003137812,1.9616940116975456,0.0,0.0002560263965278864,0.0,0.0,0.0,0.0,1.1212459939997643,1,0.75,0.83125,0.881875,25600000
5,CrackIVF,16,64,16,100,100,10,42,99999,180.24784105364233,3.064860007725656,1.1509260220918804,1.9139339856337756,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.1438060028012842,1,0.875,0.825,0.870625,25600000
6,CrackIVF,16,80,16,100,100,10,42,99999,183.5087650688365,3.2609240151941776,1.2593420105986297,2.001582004595548,0.0,0.00028798240236938,0.0,0.0,0.0,0.0,1.2486219929996878,1,0.9375,0.825,0.85125,25600000
7,CrackIVF,16,96,16,100,100,10,42,99999,185.60098606394604,2.0922209951095283,1.2615500018000603,0.830670993309468,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.2539500021375716,1,0.8125,0.83125,0.85875,25600000
8,CrackIVF,16,112,16,100,100,10,42,99999,188.40290306252427,2.8019169985782355,1.1178549902979285,1.684062008280307,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.109934994019568,1,0.875,0.85,0.87,25600000
9,CrackIVF,16,128,16,100,100,10,42,99999,191.1053950607311,2.702491998206824,1.3816619757562876,1.3208300224505365,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.3730060018133372,1,0.9375,0.91875,0.900625,25600000
10,CrackIVF,16,144,16,100,100,10,42,99999,193.56134405825287,2.455948997521773,1.1559499835129827,1.2999990140087903,0.0,0.0002720043994486332,0.0,0.0,0.0,0.0,1.1465419956948608,1,0.6875,0.71875,0.765625,25600000
11,CrackIVF,16,160,16,100,100,10,42,99999,196.91330805653706,3.351963998284191,1.3445579970721155,2.0074060012120754,0.0,0.00035201082937419415,0.0,0.0,0.0,0.0,1.3336300035007298,1,0.8125,0.88125,0.86375,25600000
12,CrackIVF,16,176,16,100,100,10,42,99999,199.39690505270846,2.4835969961714,1.1388949933461845,1.3447020028252155,0.0,0.00024001928977668285,0.0,0.0,0.0,0.0,1.1362709919922054,1,1.0,0.925,0.859375,25600000
13,CrackIVF,16,192,16,100,100,10,42,99999,202.17070903163403,2.773803978925571,1.2767339940182865,1.4970699849072844,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.2649580021388829,1,0.9375,0.80625,0.826875,25600000
14,CrackIVF,16,208,16,100,100,10,42,99999,204.78438603458926,2.613677002955228,1.1419350048527122,1.471741998102516,0.0,0.00025599729269742966,0.0,0.0,0.0,0.0,1.1336149764247239,1,0.875,0.9125,0.909375,25600000
15,CrackIVF,16,224,16,100,100,10,42,99999,207.4203670490533,2.6359810144640505,1.1802710068877786,1.455710007576272,0.0,0.00020800507627427578,0.0,0.0,0.0,0.0,1.1700309987645596,1,0.8125,0.875,0.8475,25600000
16,CrackIVF,16,240,16,100,100,10,42,99999,209.7827970283106,2.3624299792572856,1.1591349903028458,1.2032949889544398,0.0,0.00020800507627427578,0.0,0.0,0.0,0.0,1.1516149970702827,1,0.875,0.90625,0.86125,25600000
17,CrackIVF,16,256,16,100,100,10,42,99999,212.47153001604602,2.6887329877354205,1.1688789818435907,1.5198540058918297,0.0,0.00020800507627427578,0.0,0.0,0.0,0.0,1.160894986242056,1,0.8125,0.8125,0.829375,25600000
18,CrackIVF,16,272,16,100,100,10,42,99999,214.43994401488453,1.968413998838514,1.0195350041612983,0.9488789946772158,0.0,0.0001759908627718687,0.0,0.0,0.0,0.0,1.0124789841938764,1,0.8125,0.84375,0.894375,25600000
19,CrackIVF,16,288,16,100,100,10,42,99999,217.03274102765135,2.592797012766823,1.2705900007858872,1.322207011980936,0.0,0.00020800507627427578,0.0,0.0,0.0,0.0,1.2624780065380037,1,0.75,0.80625,0.833125,25600000
