batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ,cum_dist_comp
1,CrackIVF,16,0,16,100,100,10,42,99999,676.3524480629712,10.507354978471994,4.590754862874746,5.916600115597248,0.0,0.0002898741513490677,0.0,0.0,0.0,0.0,4.476774949580431,1,0.875,0.925,0.86625,25600000
2,CrackIVF,16,16,16,100,100,10,42,99999,685.0701090879738,8.717661025002599,3.5303179174661636,5.187343107536435,0.0,0.0002100132405757904,0.0,0.0,0.0,0.0,3.525019157677889,1,0.875,0.93125,0.866875,25600000
3,CrackIVF,16,32,16,100,100,10,42,99999,693.9721589442343,8.902049856260419,3.429617965593934,5.472431890666485,0.0,0.0002300366759300232,0.0,0.0,0.0,0.0,3.425978124141693,1,1.0,0.98125,0.929375,25600000
4,CrackIVF,16,48,16,100,100,10,42,99999,704.0882059372962,10.1160469930619,3.5842980723828077,6.531748920679092,0.0,0.0002300366759300232,0.0,0.0,0.0,0.0,3.5801378544420004,1,0.875,0.9,0.88125,25600000
5,CrackIVF,16,64,16,100,100,10,42,99999,714.876189827919,10.787983890622854,3.5871979780495167,7.2007859125733376,0.0,0.0002400483936071396,0.0,0.0,0.0,0.0,3.5827080719172955,1,1.0,0.9125,0.89375,25600000
6,CrackIVF,16,80,16,100,100,10,42,99999,724.8753367457539,9.999146917834878,3.4874880220741034,6.511658895760775,0.0,0.0002200249582529068,0.0,0.0,0.0,0.0,3.4835580736398697,1,0.875,0.89375,0.8775,25600000
7,CrackIVF,16,96,16,100,100,10,42,99999,735.8961408026516,11.02080405689776,3.476568963378668,7.544235093519092,0.0,0.0002400483936071396,0.0,0.0,0.0,0.0,3.4726490266621113,1,0.875,0.91875,0.884375,25600000
8,CrackIVF,16,112,16,100,100,10,42,99999,746.1786468047649,10.282506002113223,3.6201979964971542,6.662308005616069,0.0,0.0002400483936071396,0.0,0.0,0.0,0.0,3.6153581459075212,1,0.875,0.93125,0.893125,25600000
9,CrackIVF,16,128,16,100,100,10,42,99999,756.9365007802844,10.757853975519538,3.428098978474736,7.329754997044802,0.0,0.00031990930438041687,0.0,0.0,0.0,0.0,3.424359019845724,1,0.8125,0.93125,0.89875,25600000
10,CrackIVF,16,144,16,100,100,10,42,99999,768.2962538674474,11.359753087162971,3.364059142768383,7.9956939443945885,0.0,0.0002998858690261841,0.0,0.0,0.0,0.0,3.3601790200918913,1,1.0,0.94375,0.894375,25600000
