batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,100,100,10,42,99999,3748.8256510114297,87.92038899264298,4.737234994536266,83.18315399810672,0.0,0.00031999661587178707,0.0,0.0,0.0,0.0,4.672864975873381,1,1.0,0.975,0.953125
2,CrackIVF,16,16,16,100,100,10,42,99999,3828.241228009574,79.41557699814439,3.831915993941948,75.58366100420244,0.0,0.00026999623514711857,0.0,0.0,0.0,0.0,3.827006003120914,1,1.0,0.94375,0.8875
3,CrackIVF,16,32,16,100,100,10,42,99999,3908.7955150171183,80.55428700754419,3.8750960084144026,76.67919099912979,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,3.8638059922959656,1,1.0,0.95625,0.92375
4,CrackIVF,16,48,16,100,100,10,42,99999,3956.1084260058124,47.31291098869406,3.6804659757763147,43.63244501291774,0.0,0.00033000833354890347,0.0,0.0,0.0,0.0,3.6766759876627475,1,1.0,0.89375,0.878125
5,CrackIVF,16,64,16,100,100,10,42,99999,4012.3797570122406,56.27133100642823,3.668366000056267,52.60296500637196,0.0,0.00026999623514711857,0.0,0.0,0.0,0.0,3.664506017230451,1,1.0,0.98125,0.941875
6,CrackIVF,16,80,16,100,100,10,42,99999,4061.5862359991297,49.206478986889124,3.4782759903464466,45.72820299654268,0.0,0.0002600136213004589,0.0,0.0,0.0,0.0,3.4746859746519476,1,0.9375,0.93125,0.880625
7,CrackIVF,16,96,16,100,100,10,42,99999,4119.418975984445,57.83273998531513,3.711356985149905,54.121383000165224,0.0,0.0002600136213004589,0.0,0.0,0.0,0.0,3.703916008817032,1,0.875,0.89375,0.878125
8,CrackIVF,16,112,16,100,100,10,42,99999,4189.521883003181,70.102907018736,3.4929960092995316,66.60991100943647,0.0,0.0002500019036233425,0.0,0.0,0.0,0.0,3.4889259841293097,1,1.0,0.9625,0.963125
9,CrackIVF,16,128,16,100,100,10,42,99999,4244.6142850094475,55.09240200626664,3.4165070101153105,51.67589499615133,0.0,0.00026999623514711857,0.0,0.0,0.0,0.0,3.4130160056520253,1,0.9375,0.93125,0.8925
10,CrackIVF,16,144,16,100,100,10,42,99999,4361.25207299483,116.6377879853826,3.627065976615995,113.0107220087666,0.0,0.0003599852789193392,0.0,0.0,0.0,0.0,3.6183059855829924,1,0.9375,0.93125,0.925
11,CrackIVF,16,160,16,100,100,10,42,99999,4401.97685098974,40.724777994910255,3.5194770025555044,37.20530099235475,0.0,0.00023000757209956646,0.0,0.0,0.0,0.0,3.5158369864802808,1,0.9375,0.91875,0.885625
12,CrackIVF,16,176,16,100,100,10,42,99999,4457.750183006283,55.773332016542554,3.6089160130359232,52.16441600350663,0.0,0.0005899928510189056,0.0,0.0,0.0,0.0,3.5968360025435686,1,1.0,0.975,0.943125
13,CrackIVF,16,192,16,100,100,10,42,99999,4509.888678992866,52.13849598658271,3.668725985335186,48.469770001247525,0.0,0.00033000833354890347,0.0,0.0,0.0,0.0,3.66310597746633,1,1.0,0.91875,0.8475
14,CrackIVF,16,208,16,100,100,10,42,99999,4571.37907500146,61.49039600859396,3.7983160000294447,57.69208000856452,0.0,0.00030899536795914173,0.0,0.0,0.0,0.0,3.79249599063769,1,0.9375,0.9375,0.8825
15,CrackIVF,16,224,16,100,100,10,42,99999,4631.368562026182,59.98948702472262,3.7924760254099965,56.197010999312624,0.0,0.0002899905666708946,0.0,0.0,0.0,0.0,3.77958599710837,1,0.9375,0.9,0.850625
16,CrackIVF,16,240,16,100,100,10,42,99999,4691.776259016478,60.407696990296245,3.6245360097382218,56.78316098055802,0.0,0.0003500026650726795,0.0,0.0,0.0,0.0,3.619905997766182,1,1.0,0.975,0.959375
17,CrackIVF,16,256,16,100,100,10,42,99999,4747.432901000138,55.65664198365994,3.4431469975970685,52.21349498606287,0.0,0.00031999661587178707,0.0,0.0,0.0,0.0,3.4388659987598658,1,1.0,0.9625,0.940625
18,CrackIVF,16,272,16,100,100,10,42,99999,4803.080933023011,55.64803202287294,3.514276002533734,52.133756020339206,0.0,0.00038999132812023163,0.0,0.0,0.0,0.0,3.5062060051131994,1,0.9375,0.95625,0.905625
19,CrackIVF,16,288,16,100,100,10,42,99999,4869.627953041345,66.54702001833357,3.3987560018431395,63.14826401649043,0.0,0.00038000871427357197,0.0,0.0,0.0,0.0,3.3925260067917407,1,0.9375,0.90625,0.895625
20,CrackIVF,16,304,16,100,100,10,42,99999,4907.071564055514,37.44361101416871,3.4976160095538944,33.945995004614815,0.0,0.0005600159056484699,0.0,0.0,0.0,0.0,3.4930460096802562,1,0.8125,0.8625,0.86625
21,CrackIVF,16,320,16,100,100,10,42,99999,4961.571228079265,54.49966402375139,3.4323570143897086,51.067307009361684,0.0,0.00026999623514711857,0.0,0.0,0.0,0.0,3.428656986216083,1,0.9375,0.95625,0.915625
22,CrackIVF,16,336,16,100,100,10,42,99999,5012.10045607877,50.529227999504656,3.8677059928886592,46.661522006615996,0.0,0.000300002284348011,0.0,0.0,0.0,0.0,3.8556459767278284,1,1.0,0.975,0.95375
23,CrackIVF,16,352,16,100,100,10,42,99999,5066.802619083319,54.70216300454922,3.5902160161640495,51.11194698838517,0.0,0.0003399909473955631,0.0,0.0,0.0,0.0,3.5781259939540178,1,1.0,0.96875,0.938125
