batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,100,100,10,42,99999,342.90069100097753,6.354609009576961,4.6350620104931295,1.719546999083832,0.0,0.00028000795282423496,0.0,0.0,0.0,0.0,4.587781004374847,1,0.875,0.86875,0.840625
2,CrackIVF,16,16,16,100,100,10,42,99999,348.82705099880695,5.926359997829422,4.032572993310168,1.893787004519254,0.0,0.0002599845174700022,0.0,0.0,0.0,0.0,4.028262017527595,1,1.0,0.90625,0.90875
3,CrackIVF,16,32,16,100,100,10,42,99999,354.68798998044804,5.860938981641084,3.929861995857209,1.931076985783875,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,3.9256419986486435,1,0.875,0.9375,0.91625
4,CrackIVF,16,48,16,100,100,10,42,99999,360.5369190045167,5.848929024068639,3.9738320047035813,1.8750970193650573,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.970232995925471,1,0.9375,0.9375,0.891875
5,CrackIVF,16,64,16,100,100,10,42,99999,366.2504079984501,5.713488993933424,3.8958619988989085,1.8176269950345159,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.892582026310265,1,0.9375,0.86875,0.8575
6,CrackIVF,16,80,16,100,100,10,42,99999,371.8752579879947,5.6248499895446,3.8855529855936766,1.7392970039509237,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.8823529903311282,1,0.9375,0.84375,0.80375
7,CrackIVF,16,96,16,100,100,10,42,99999,377.4435179657303,5.568259977735579,3.852922993246466,1.715336984489113,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.849992004688829,1,0.875,0.8875,0.8425
8,CrackIVF,16,112,16,100,100,10,42,99999,382.86752795102075,5.424009985290468,3.8059629732742906,1.6180470120161772,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.8026529946364462,1,1.0,0.9,0.808125
9,CrackIVF,16,128,16,100,100,10,42,99999,388.34145796136,5.473930010339245,3.766392997931689,1.7075370124075562,0.0,0.00023000757209956646,0.0,0.0,0.0,0.0,3.7632129970006645,1,0.875,0.84375,0.834375
10,CrackIVF,16,144,16,100,100,10,42,99999,393.838796968339,5.4973390069790184,3.7792329967487603,1.718106010230258,0.0,0.00019001890905201435,0.0,0.0,0.0,0.0,3.7761319836135954,1,1.0,0.93125,0.918125
11,CrackIVF,16,160,16,100,100,10,42,99999,399.26244696835056,5.423650000011548,3.7616430199705064,1.662006980041042,0.0,0.0002100132405757904,0.0,0.0,0.0,0.0,3.7584830133710057,1,0.75,0.8125,0.775625
12,CrackIVF,16,176,16,100,100,10,42,99999,404.63953698053956,5.377090012189001,3.7527029926422983,1.6243870195467025,0.0,0.00019001890905201435,0.0,0.0,0.0,0.0,3.7495329743251204,1,0.875,0.85625,0.836875
13,CrackIVF,16,192,16,100,100,10,42,99999,416.05706498376094,11.417528003221378,9.638231014832854,1.7792969883885235,0.0,0.00025099143385887146,0.0,0.0,0.0,0.0,9.634871006710455,1,1.0,0.93125,0.87375
14,CrackIVF,16,208,16,100,100,10,42,99999,424.42209998262115,8.36503499886021,3.7356340035330504,4.62940099532716,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.7317929964046925,1,0.75,0.80625,0.77875
15,CrackIVF,16,224,16,100,100,10,42,99999,433.1903439888265,8.76824400620535,3.770873008761555,4.997370997443795,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.767282993067056,1,0.8125,0.86875,0.854375
16,CrackIVF,16,240,16,100,100,10,42,99999,441.04660899029113,7.856265001464635,3.7882129836361855,4.06805201782845,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.7846629857085645,1,1.0,0.94375,0.92
17,CrackIVF,16,256,16,100,100,10,42,99999,447.1469279960729,6.100319005781785,3.751273005036637,2.3490460007451475,0.0,0.0002100132405757904,0.0,0.0,0.0,0.0,3.7481430044863373,1,1.0,0.8625,0.856875
18,CrackIVF,16,272,16,100,100,10,42,99999,453.2533460005652,6.106418004492298,3.7274929927662015,2.3789250117260963,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.7240840028971434,1,0.9375,0.93125,0.90875
19,CrackIVF,16,288,16,100,100,10,42,99999,459.4995049992576,6.246158998692408,3.8415239832829684,2.40463501540944,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.8378640019800514,1,0.875,0.79375,0.771875
20,CrackIVF,16,304,16,100,100,10,42,99999,465.43453400954604,5.935029010288417,3.723412984982133,2.2116160253062844,0.0,0.00023000757209956646,0.0,0.0,0.0,0.0,3.7202429957687855,1,0.8125,0.86875,0.88125
21,CrackIVF,16,320,16,100,100,10,42,99999,471.26269302680157,5.82815901725553,3.852682013530284,1.9754770037252456,0.0,0.00019001890905201435,0.0,0.0,0.0,0.0,3.84953198954463,1,0.9375,0.8625,0.8625
22,CrackIVF,16,336,16,100,100,10,42,99999,476.7631730355788,5.500480008777231,3.8057529891375452,1.6947270196396858,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.8022729859221727,1,0.9375,0.90625,0.844375
23,CrackIVF,16,352,16,100,100,10,42,99999,482.1854130132124,5.422239977633581,3.796853998210281,1.6253859794232994,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7935039727017283,1,0.9375,0.90625,0.838125
24,CrackIVF,16,368,16,100,100,10,42,99999,487.803461990552,5.61804897733964,3.8496929919347167,1.7683559854049236,0.0,0.0002100132405757904,0.0,0.0,0.0,0.0,3.8463429955299944,1,0.875,0.8875,0.823125
25,CrackIVF,16,384,16,100,100,10,42,99999,493.6194310139399,5.815969023387879,3.844963008305058,1.9710060150828212,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.8416929892264307,1,0.9375,0.95,0.87625
26,CrackIVF,16,400,16,100,100,10,42,99999,499.05971001135185,5.440278997411951,3.7423619942273945,1.697917003184557,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,3.738903993507847,1,1.0,0.925,0.885
27,CrackIVF,16,416,16,100,100,10,42,99999,504.633360018488,5.573650007136166,3.795252996496856,1.7783970106393099,0.0,0.00020998413674533367,0.0,0.0,0.0,0.0,3.7918630114290863,1,1.0,0.93125,0.87125
28,CrackIVF,16,432,16,100,100,10,42,99999,510.09054901078343,5.457188992295414,3.7251519970595837,1.7320369952358305,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7219920195639133,1,1.0,0.90625,0.851875
29,CrackIVF,16,448,16,100,100,10,42,99999,515.7860780018382,5.6955289910547435,3.752132994122803,1.9433959969319403,0.0,0.00019001890905201435,0.0,0.0,0.0,0.0,3.748732997337356,1,0.875,0.86875,0.79875
30,CrackIVF,16,464,16,100,100,10,42,99999,521.2960079952609,5.509929993422702,3.7537430180236697,1.7561869753990322,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.7504929932765663,1,0.875,0.86875,0.840625
31,CrackIVF,16,480,16,100,100,10,42,99999,526.9419770047534,5.645969009492546,3.8297830033116043,1.816186006180942,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.8266129849944264,1,0.9375,0.89375,0.824375
32,CrackIVF,16,496,16,100,100,10,42,99999,532.4787760036997,5.536798998946324,3.748862014617771,1.787936984328553,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.745383000932634,1,1.0,0.875,0.826875
33,CrackIVF,16,512,16,100,100,10,42,99999,538.270035001915,5.7912589982151985,3.8389819965232164,1.9522770016919822,0.0,0.0001910084392875433,0.0,0.0,0.0,0.0,3.835512005025521,1,1.0,0.93125,0.888125
34,CrackIVF,16,528,16,100,100,10,42,99999,543.8120049948338,5.541969992918894,3.7940430047456175,1.7479269881732762,0.0,0.00019001890905201435,0.0,0.0,0.0,0.0,3.7906430079601705,1,0.875,0.875,0.8525
