batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,100,100,10,42,99999,310.97798302653246,6.089008005801588,4.467530990950763,1.621477014850825,0.0,0.00023999018594622612,0.0,0.0,0.0,0.0,4.417432006448507,1,0.875,0.86875,0.840625
2,CrackIVF,16,16,16,100,100,10,42,99999,317.1904810296837,6.212498003151268,3.871772001730278,2.3407260014209896,0.0,0.000300002284348011,0.0,0.0,0.0,0.0,3.867832012474537,1,1.0,0.90625,0.90875
3,CrackIVF,16,32,16,100,100,10,42,99999,322.90691902744584,5.716437997762114,3.8034419994801283,1.9129959982819855,0.0,0.00028000795282423496,0.0,0.0,0.0,0.0,3.799202007940039,1,0.875,0.9375,0.91625
4,CrackIVF,16,48,16,100,100,10,42,99999,328.1950880191289,5.288168991683051,3.800061997026205,1.488106994656846,0.0,0.00026999623514711857,0.0,0.0,0.0,0.0,3.7961519847158343,1,0.9375,0.9375,0.891875
5,CrackIVF,16,64,16,100,100,10,42,99999,333.53991704643704,5.344829027308151,3.7698020169045776,1.5750270104035735,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7664019910153,1,0.9375,0.86875,0.8575
6,CrackIVF,16,80,16,100,100,10,42,99999,338.7028960569296,5.162979010492563,3.695261984830722,1.467717025661841,0.0,0.00028000795282423496,0.0,0.0,0.0,0.0,3.691771999001503,1,0.9375,0.84375,0.80375
7,CrackIVF,16,96,16,100,100,10,42,99999,343.8862860784866,5.183390021556988,3.730273019755259,1.4531170018017292,0.0,0.00026999623514711857,0.0,0.0,0.0,0.0,3.7269129825290293,1,0.875,0.8875,0.8425
8,CrackIVF,16,112,16,100,100,10,42,99999,349.23500509466976,5.348719016183168,3.7615729961544275,1.5871460200287402,0.0,0.00020998413674533367,0.0,0.0,0.0,0.0,3.7581530050374568,1,1.0,0.9,0.808125
9,CrackIVF,16,128,16,100,100,10,42,99999,354.4123151223175,5.1773100276477635,3.7094830186106265,1.467827009037137,0.0,0.0002100132405757904,0.0,0.0,0.0,0.0,3.7060629983898252,1,0.875,0.84375,0.834375
10,CrackIVF,16,144,16,100,100,10,42,99999,359.6337241178844,5.22140899556689,3.7037020083516836,1.517706987215206,0.0,0.00015998375602066517,0.0,0.0,0.0,0.0,3.7001119926571846,1,1.0,0.93125,0.918125
11,CrackIVF,16,160,16,100,100,10,42,99999,364.7967041179072,5.162980000022799,3.7113630096428096,1.4516169903799891,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.7079129833728075,1,0.75,0.8125,0.775625
12,CrackIVF,16,176,16,100,100,10,42,99999,370.03296409966424,5.23625998175703,3.6695129820145667,1.5667469997424632,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.666133008664474,1,0.875,0.85625,0.836875
13,CrackIVF,16,192,16,100,100,10,42,99999,375.35571309854276,5.322748998878524,3.726092982105911,1.596656016772613,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,3.7227619905024767,1,1.0,0.93125,0.87375
14,CrackIVF,16,208,16,100,100,10,42,99999,380.58341210125946,5.22769900271669,3.6652529961429536,1.5624460065737367,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.6619130114559084,1,0.75,0.80625,0.77875
15,CrackIVF,16,224,16,100,100,10,42,99999,385.85268109454773,5.269268993288279,3.6793719918932766,1.589897001395002,0.0,0.0002100132405757904,0.0,0.0,0.0,0.0,3.6761219962500036,1,0.8125,0.86875,0.854375
16,CrackIVF,16,240,16,100,100,10,42,99999,391.1894701013807,5.336789006832987,3.7162920052651316,1.6204970015678555,0.0,0.00016999547369778156,0.0,0.0,0.0,0.0,3.7128920084796846,1,1.0,0.94375,0.92
17,CrackIVF,16,256,16,100,100,10,42,99999,396.43034010077827,5.240869999397546,3.64316301420331,1.597706985194236,0.0,0.00021999585442245007,0.0,0.0,0.0,0.0,3.639942005975172,1,1.0,0.8625,0.856875
18,CrackIVF,16,272,16,100,100,10,42,99999,401.676889101509,5.246549000730738,3.664641990326345,1.581907010404393,0.0,0.00021100277081131935,0.0,0.0,0.0,0.0,3.6612120165955275,1,0.9375,0.93125,0.90875
19,CrackIVF,16,288,16,100,100,10,42,99999,406.9940590998158,5.317169998306781,3.7176829937379807,1.5994870045688003,0.0,0.000200001522898674,0.0,0.0,0.0,0.0,3.7140230124350637,1,0.875,0.79375,0.771875
20,CrackIVF,16,304,16,100,100,10,42,99999,412.3800780798774,5.386018980061635,3.6187429795973003,1.767276000464335,0.0,0.0002200249582529068,0.0,0.0,0.0,0.0,3.6154429835733026,1,0.8125,0.86875,0.88125
21,CrackIVF,16,320,16,100,100,10,42,99999,417.8565860784147,5.476507998537272,3.76050200429745,1.716005994239822,0.0,0.00016999547369778156,0.0,0.0,0.0,0.0,3.757402009796351,1,0.9375,0.8625,0.8625
22,CrackIVF,16,336,16,100,100,10,42,99999,423.0855760979466,5.2289900195319206,3.668643010314554,1.5603470092173666,0.0,0.00017997808754444122,0.0,0.0,0.0,0.0,3.6652729904744774,1,0.9375,0.90625,0.844375
