batch_id,index_name,batch_size,qid,nthreads,curr_nlist,nlist,niter,seed,nprobe,cummulative_time_ms_mean,total_ms_mean,overhead_ms_mean,search_time_ms_mean,crack_time_ms_mean,refine_time_ms_mean,get_local_region_time_ms_mean,reorg_time_ms_mean,inner_point_assignments_ms_mean,update_invlists_ms_mean,metadata_tracking_time_mean,nruns,recall_1_perQ,recall_10_perQ,recall_100_perQ
1,CrackIVF,16,0,16,100,100,10,42,99999,365.49419700168073,9.255179989850149,4.940854996675625,4.314324993174523,0.0,0.0003700261004269123,0.0,0.0,0.0,0.0,4.864344984525815,1,0.9375,0.8625,0.840625
2,CrackIVF,16,16,16,100,100,10,42,99999,374.6103169978596,9.116119996178895,3.9033849898260087,5.212735006352887,0.0,0.0003399909473955631,0.0,0.0,0.0,0.0,3.8992049812804908,1,1.0,0.94375,0.896875
3,CrackIVF,16,32,16,100,100,10,42,99999,384.0041579969693,9.39384099910967,3.751826996449381,5.642014002660289,0.0,0.0004100147634744644,0.0,0.0,0.0,0.0,3.747835988178849,1,1.0,0.90625,0.868125
4,CrackIVF,16,48,16,100,100,10,42,99999,394.3674679903779,10.36330999340862,3.834217000985518,6.529092992423102,0.0,0.000400003045797348,0.0,0.0,0.0,0.0,3.830236993962899,1,1.0,0.96875,0.943125
5,CrackIVF,16,64,16,100,100,10,42,99999,404.99800798716024,10.630539996782318,3.72871698345989,6.901823013322428,0.0,0.0003699969965964556,0.0,0.0,0.0,0.0,3.7249859888106585,1,1.0,0.9625,0.936875
6,CrackIVF,16,80,16,100,100,10,42,99999,415.69484799401835,10.69684000685811,3.641777002485469,7.0550630043726414,0.0,0.0003699969965964556,0.0,0.0,0.0,0.0,3.637296991655603,1,0.9375,0.91875,0.865625
7,CrackIVF,16,96,16,100,100,10,42,99999,427.1787669858895,11.483918991871178,3.773726988583803,7.710192003287375,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.77014500554651,1,1.0,0.90625,0.853125
8,CrackIVF,16,112,16,100,100,10,42,99999,438.104275992373,10.92550900648348,3.6360060039442033,7.289503002539277,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.632605978054926,1,0.875,0.91875,0.85625
9,CrackIVF,16,128,16,100,100,10,42,99999,449.50101498398,11.39673899160698,3.6811360041610897,7.715602987445891,0.0,0.00018998980522155762,0.0,0.0,0.0,0.0,3.677785978652537,1,0.9375,0.93125,0.87875
10,CrackIVF,16,144,16,100,100,10,42,99999,461.21719398070127,11.716178996721283,3.6413669877219945,8.074812008999288,0.0,0.00016999547369778156,0.0,0.0,0.0,0.0,3.6379160010255873,1,0.8125,0.94375,0.89625
11,CrackIVF,16,160,16,100,100,10,42,99999,472.6642530004028,11.447059019701555,3.6304670211393386,7.816591998562217,0.0,0.00018000719137489796,0.0,0.0,0.0,0.0,3.6262159992475063,1,0.875,0.90625,0.84125
12,CrackIVF,16,176,16,100,100,10,42,99999,484.22383100842126,11.559578008018434,3.6374660267028958,7.922111981315538,0.0,0.0001600128598511219,0.0,0.0,0.0,0.0,3.633775981143117,1,1.0,0.89375,0.87
